"","Test_logloss","Train_logloss","updater","feature_selector","NA","NA"
"1",0.3555516,0.299845,0.3,10,0.5,0.5
"2",0.3552218,0.301885,0.6,10,0.5,0.5
"3",0.3753988,0.216852,0.3,100,0.5,0.5
"4",0.3753222,0.2235224,0.6,100,0.5,0.5
"5",0.375775,0.2173872,0.3,150,0.5,0.5
"6",0.3738456,0.2233416,0.6,150,0.5,0.5
"7",0.3369264,0.2713872,0.3,10,1,0.5
"8",0.3367862,0.2723298,0.6,10,1,0.5
"9",0.375993,0.1617638,0.3,100,1,0.5
"10",0.3746472,0.1656974,0.6,100,1,0.5
"11",0.3743916,0.161248,0.3,150,1,0.5
"12",0.3772994,0.1660702,0.6,150,1,0.5
"13",0.344796,0.2735088,0.3,10,1.5,0.5
"14",0.34599,0.273483,0.6,10,1.5,0.5
"15",0.390121,0.1429874,0.3,100,1.5,0.5
"16",0.3849828,0.1473108,0.6,100,1.5,0.5
"17",0.3873856,0.1434888,0.3,150,1.5,0.5
"18",0.3883794,0.1475174,0.6,150,1.5,0.5
"19",0.3567398,0.2964108,0.3,10,0.5,0.6
"20",0.3544776,0.2973996,0.6,10,0.5,0.6
"21",0.3746994,0.1957176,0.3,100,0.5,0.6
"22",0.375156,0.2040384,0.6,100,0.5,0.6
"23",0.3770418,0.1955572,0.3,150,0.5,0.6
"24",0.3776862,0.2029838,0.6,150,0.5,0.6
"25",0.3364754,0.2652266,0.3,10,1,0.6
"26",0.3362722,0.2662992,0.6,10,1,0.6
"27",0.3800158,0.139236,0.3,100,1,0.6
"28",0.3776338,0.1443382,0.6,100,1,0.6
"29",0.3774388,0.1393366,0.3,150,1,0.6
"30",0.382965,0.1430958,0.6,150,1,0.6
"31",0.3428572,0.2681074,0.3,10,1.5,0.6
"32",0.344702,0.2675312,0.6,10,1.5,0.6
"33",0.3853198,0.1206292,0.3,100,1.5,0.6
"34",0.3850572,0.1243354,0.6,100,1.5,0.6
"35",0.3894912,0.1207808,0.3,150,1.5,0.6
"36",0.3852974,0.1250666,0.6,150,1.5,0.6
